body_id,LN_instance,LN_type,combined_LN_type,broad_LN_group,orn_input_total,ipsi_orn_input_total,contra_orn_input_total,contra_orn_preference_weighted,contra_orn_preference_unweighted,pn_output_weight_total,ln_total_connections,sum_pn_output_fraction,sum_pn_output_percent,max_glomerulus_pn_output_percent,mean_glomerulus_pn_output_percent,pn_weighted_contra_orn_preference,n_orn_glomeruli,n_pn_glomeruli,n_convergent_glomeruli,orn_support_weight,body_convergence_score,body_score_rank,passes_body_orn_input_filter
5901206553,il3LN6_L,il3LN6,il3LN6,il3LN,6492.0,1050.0,5442.0,0.6765249537892791,0.4899967929948604,1841.0,6330.0,0.2908372827804107,29.083728278041075,8.167456556082149,0.7653612704747651,0.5637618844768733,26,38,26,1.0,5.086525399915679,1,True
5813018460,il3LN6_R,il3LN6,il3LN6,il3LN,6266.0,1125.0,5141.0,0.6409192467283754,0.4963228526474499,2009.0,7089.0,0.2833968119621949,28.339681196219495,7.47637184370151,0.7266584922107564,0.4099628063866705,27,39,26,1.0,4.874761290173849,2,True
5813056598,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T,688.0,142.0,546.0,0.5872093023255814,0.6516443837547734,1550.0,4670.0,0.3319057815845824,33.19057815845824,5.524625267665953,0.6914703783012134,0.659404166878287,22,48,22,1.0,4.314024252795527,3,True
1762359683,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,1013.0,187.0,826.0,0.6307996051332675,0.5681017273111535,843.0,3245.0,0.259784283513097,25.978428351309702,5.454545454545454,0.5647484424197763,0.5627691234438776,22,46,22,1.0,4.250423932918872,4,True
1702306037,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,752.0,156.0,596.0,0.5851063829787234,0.4803132265138445,1296.0,4289.0,0.3021683376078339,30.216833760783395,5.549079039403124,0.6295173700163208,0.5049575047803772,25,48,25,1.0,4.193930905717068,5,True
5813054726,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T,1134.0,251.0,883.0,0.5573192239858906,0.2550071604457552,1638.0,5650.0,0.2899115044247787,28.99115044247787,5.0265486725663715,0.6039823008849557,0.4287866039119854,28,48,28,1.0,4.125188604732011,6,True
1640922754,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,518.0,103.0,415.0,0.6023166023166023,0.3598866458645622,903.0,3500.0,0.258,25.8,5.057142857142857,0.5375,0.4774842820807722,25,48,25,1.0,4.099866332900307,7,True
1732995501,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,1072.0,230.0,842.0,0.5708955223880597,0.2967607345165581,1170.0,4402.0,0.2657882780554293,26.578827805542936,5.338482507950931,0.56550697458602,0.4740384654457056,26,47,26,1.0,4.033727032203175,8,True
1670627928,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,986.0,216.0,770.0,0.5618661257606491,0.406383389149745,1191.0,4481.0,0.2657888864092836,26.57888864092837,5.28899799151975,0.5778019269767036,0.4609416202032494,24,46,24,1.0,3.979915687205288,9,True
1916800213,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T,876.0,177.0,699.0,0.5958904109589042,0.5380140131636806,719.0,3294.0,0.2182756527018822,21.82756527018822,3.764420157862781,0.7795559025067221,0.5606803028684745,18,28,18,1.0,3.920512708526568,10,True
1640909284,lLN2F_b(Full)_R,lLN2F_b,lLN2F,lLN2F,7640.0,1840.0,5800.0,0.518324607329843,0.2556742247437988,1905.0,15956.0,0.1193908247681123,11.93908247681123,1.830032589621459,0.2487308849335673,0.3811602888106599,31,48,31,1.0,3.914782441556024,11,True
5813069085,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,964.0,221.0,743.0,0.5414937759336099,0.2046565716976258,1228.0,4552.0,0.2697715289982425,26.977152899824254,5.645869947275923,0.5739819765920053,0.3488199280737859,30,47,30,1.0,3.8521629555948858,12,True
5813024698,lLN2F_b(Full)_R,lLN2F_b,lLN2F,lLN2F,7025.0,1700.0,5325.0,0.5160142348754448,0.3425665532653019,1636.0,16264.0,0.1005902606984751,10.059026069847516,1.7646335464830298,0.2235339126632781,0.4969225309342411,27,45,27,1.0,3.818825564835639,13,True
5813075196,lLN2R_a(Regional)_R,lLN2R_a,lLN2R,lLN2R,887.0,176.0,711.0,0.6031567080045096,0.4234163674801383,553.0,2765.0,0.2,20.000000000000004,4.990958408679927,0.6896551724137931,0.511510884330151,17,29,16,1.0,3.810240256380831,14,True
1672320134,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T,503.0,128.0,375.0,0.4910536779324055,0.2269339447636144,1326.0,4760.0,0.2785714285714285,27.857142857142858,6.449579831932774,0.6055900621118012,0.3742203044389325,25,46,25,1.0,3.5310079134792347,15,True
5813054773,l2LN18_R,l2LN18,l2LN18,l2LN,1284.0,350.0,934.0,0.454828660436137,0.2421347081551732,2046.0,5741.0,0.356383905242989,35.6383905242989,5.434593276432677,0.8099634210067933,0.2871435230890294,27,44,27,1.0,3.4676731012665054,16,True
1670287030,lLN2F_a(Full)_R,lLN2F_a,lLN2F,lLN2F,3472.0,933.0,2539.0,0.4625576036866359,0.1708561411737848,1439.0,11663.0,0.1233816342279001,12.33816342279002,2.5465146188802192,0.2570450713081254,0.3367239489164809,32,48,32,1.0,3.363903173521744,17,True
1578826464,lLN1_c_R,lLN1_c,lLN1,lLN1,216.0,58.0,158.0,0.4629629629629629,0.0540838923288613,1220.0,3723.0,0.327692720923986,32.7692720923986,5.42573193661026,0.697218555157417,-0.0107456308976979,16,47,16,1.0,3.290474756532733,18,True
5813034531,lLN2R_a(Regional)_R,lLN2R_a,lLN2R,lLN2R,645.0,147.0,498.0,0.5441860465116279,0.6819288119288119,350.0,2334.0,0.1499571550985432,14.995715509854326,4.927163667523565,0.8821009123443723,0.5917302832531258,9,17,9,1.0,3.189358084397704,19,True
5901218894,lLN2F_a(Full)_R,lLN2F_a,lLN2F,lLN2F,3935.0,1146.0,2789.0,0.4175349428208386,0.1382053787762963,1811.0,11694.0,0.1548657431161279,15.486574311612792,2.8903711304942705,0.3226369648252665,0.2710825010231328,32,48,32,1.0,3.1324250057150205,20,True
1730327790,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T,1470.0,443.0,1027.0,0.3972789115646258,0.4001990767212758,2109.0,5877.0,0.3588565594691169,35.88565594691169,4.79836651352731,0.7635245946151423,0.3291464088894784,27,47,27,1.0,3.0409488736452692,21,True
1640572741,lLN2T_b(Tortuous)_R,lLN2T_b,lLN2T,lLN2T,5485.0,1710.0,3775.0,0.3764813126709207,0.095879724474445,1982.0,6036.0,0.3283631544068919,32.8363154406892,3.8270377733598417,0.7462798963792999,0.2546287426468563,32,44,32,1.0,2.858383966343369,22,True
5813034493,lLN2T_b(Tortuous)_R,lLN2T_b,lLN2T,lLN2T,4414.0,1376.0,3038.0,0.3765292251925691,0.0668745663556596,1758.0,6001.0,0.2929511748041993,29.29511748041993,5.032494584235961,0.681281801870231,0.0984713998672898,27,43,27,1.0,2.8136149156669283,23,True
1670916819,lLN2P_a(Patchy)_R,lLN2P_a,lLN2P,lLN2P,562.0,174.0,388.0,0.3807829181494662,0.1117144593173674,1016.0,1840.0,0.5521739130434783,55.21739130434783,41.52173913043478,2.760869565217391,0.1883658657146354,13,20,11,1.0,2.6367741152213378,24,True
5813055277,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T,1044.0,347.0,697.0,0.3352490421455938,0.2040590362054968,1735.0,4276.0,0.4057530402245088,40.57530402245089,8.559401309635174,0.8453188338010601,0.2687514757012048,26,48,26,1.0,2.5007362196619765,25,True
1667251683,lLN2T_d(Tortuous)_R,lLN2T_d,lLN2T,lLN2T,2548.0,856.0,1692.0,0.3281004709576138,-0.0070054446567927,1781.0,7078.0,0.2516247527550155,25.16247527550155,3.334275218988415,0.5242182349062824,0.178886082942301,28,48,28,1.0,2.4559933219441565,26,True
5813024339,lLN2R_a(Regional)_R,lLN2R_a,lLN2R,lLN2R,390.0,112.0,278.0,0.4256410256410256,0.4039102353585113,315.0,2346.0,0.1342710997442455,13.427109974424551,4.092071611253197,1.0328546134172734,0.5245539135194307,6,13,5,1.0,2.4498800191164807,27,True
5813032595,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T,778.0,267.0,511.0,0.313624678663239,0.1593444965522454,1677.0,4099.0,0.4091241766284459,40.91241766284459,9.563308123932666,0.8523420346425956,0.2006566792674586,29,48,29,1.0,2.3287754812784383,28,True
2135408892,lLN2P_a(Patchy)_R,lLN2P_a,lLN2P,lLN2P,1003.0,337.0,666.0,0.3280159521435692,0.2285131338646407,1059.0,2071.0,0.5113471752776436,51.13471752776436,35.296957991308545,1.966719904914014,0.2572021639276983,18,26,16,1.0,2.2849670563887448,29,True
1671620613,v2LN30_R,v2LN30,v2LN30,v2LN3,1563.0,575.0,988.0,0.2642354446577095,-0.0250527459326354,5169.0,6211.0,0.8322331347609082,83.22331347609082,19.35276123007567,1.8494069661353516,0.0016637789797713,22,45,22,1.0,2.259378983095663,30,True
