target_group,bodyId,instance,type,pre,post,status,cropped
PV5a1,573333284,LHPV5a1_a_R,LHPV5a1_a,194,528,Traced,False
PV5a1,573683455,LHPV5a1_a_R,LHPV5a1_a,161,442,Traced,False
PV5a1,604368022,LHPV5a1_a_R,LHPV5a1_a,180,444,Traced,False
PV5a1,609941228,LHPV5a1_a_R,LHPV5a1_a,226,566,Traced,False
PV5a1,546511447,LHPV5a1_b_R,LHPV5a1_b,88,148,Traced,False
PV5a1,573333903,LHPV5a1_b_R,LHPV5a1_b,119,204,Traced,False
PV5a1,577546843,LHPV5a1_b_R,LHPV5a1_b,98,131,Traced,False
PD2a1_b1,542634516,LHPD2a1_R,LHPD2a1,265,757,Traced,False
PD2a1_b1,571666434,LHPD2a1_R,LHPD2a1,230,640,Traced,False
PD2a1_b1,573329304,LHPD2a1_R,LHPD2a1,307,895,Traced,False
PD2a1_b1,573337611,LHPD2a1_R,LHPD2a1,308,798,Traced,False
PD2a1_b1,640963556,LHPD2a1_R,LHPD2a1,180,463,Traced,False
PD2a1_b1,509928512,LHPD2b1_a_R,LHPD2b1_a,189,727,Traced,False
PD2a1_b1,548872750,LHPD2b1_a_R,LHPD2b1_a,217,626,Traced,False
PD2a1_b1,5813089504,LHPD2b1_a_R,LHPD2b1_a,184,746,Traced,False
PD2a1_b1,571666400,LHPD2b1_b_R,LHPD2b1_b,205,623,Traced,False
