LN_instance,LN_bodyid,glomerulus,n_inputs,n_ipsi_inputs,n_contra_inputs
lLN2P_a(Patchy)_R,1857799548,DM3,172,65,107
lLN2P_a(Patchy)_R,1857799548,DA1,361,135,226
lLN2P_a(Patchy)_R,1857799548,DL4,4,3,1
lLN2P_a(Patchy)_R,1857799548,DL5,1,0,1
lLN2P_a(Patchy)_R,1857799548,DC1,62,26,36
lLN2P_a(Patchy)_R,1857799548,DP1m,39,4,35
lLN2P_a(Patchy)_R,1857799548,DL2d,22,9,13
lLN2P_a(Patchy)_R,1857799548,DM1,73,16,57
lLN2P_a(Patchy)_R,1857799548,DC2,3,1,2
lLN2P_a(Patchy)_R,1857799548,DL1,168,57,111
lLN2P_a(Patchy)_R,1857799548,DC4,33,15,18
lLN2P_a(Patchy)_R,1857799548,VM7v,28,10,18
lLN2P_a(Patchy)_R,1857799548,DM4,5,1,4
lLN2P_a(Patchy)_R,1857799548,DM2,40,11,29
lLN2P_a(Patchy)_R,1857799548,DL2v,23,11,12
lLN2P_a(Patchy)_R,1857799548,DC3,14,14,0
lLN2P_a(Patchy)_R,1857799548,VM7d,0,0,0
lLN2P_a(Patchy)_R,1857799548,VP1d,6,6,0
lLN2P_a(Patchy)_R,1857799548,VA1d,3,3,0
lLN2P_a(Patchy)_R,1857799548,VM5d,0,0,0
lLN2P_a(Patchy)_R,1857799548,VA6,0,0,0
lLN2P_a(Patchy)_R,1857799548,VM5v,0,0,0
lLN2P_a(Patchy)_R,1857799548,VP1l,15,15,0
lLN2P_a(Patchy)_R,1857799548,VA7m,0,0,0
lLN2P_a(Patchy)_R,1857799548,VP1m,10,10,0
lLN2P_a(Patchy)_R,1857799548,VC4,0,0,0
lLN2P_a(Patchy)_R,1857799548,VC3,1,0,1
lLN2P_a(Patchy)_R,1857799548,VA2,0,0,0
lLN2P_a(Patchy)_R,1857799548,VC2,0,0,0
lLN2P_a(Patchy)_R,1857799548,VP5,2,2,0
lLN2P_a(Patchy)_R,1857799548,V,139,139,0
